referred            refered
assessing           accesing
ominous             omenous
delinquent          deliguent
immediately         imidatly
extremely           extreemly
solemn              solmn
benefits            benifits
accompaniment       accompanimen
quarreled           quarelled
approach            aproach
angel               angell
unfortunately       unfortunatly
geneva              geniva
privilege           privelege
thoroughly          thouroughly
sufficient          sufficent
anything            anythin
quantities          quanties
possibilities       possablities
mythical            mithical
recently            reciently
containing          contasining
shipping            shippin
affidavit           afidavit
occurred            occureed
stirring            stirrin
they                thay
unresolved          unresloved
accommodation       accomodation
linoleum            linolium
zenith              zeenith
doctor              docter
decidedly           dicidely
sheets              sheertes
together            togehter
discretion          discresion
per                 pere
auxiliary           auxillary
accumulated         acumulated
smiling             smilin
definitely          definatly
sociable            socable
amateur             amatuer
queries             quies
scheme              scheem
optician            opticion
supplementary       suplementary
exhorted            exorted
thoughts            thorts
sanitary            sanatary
appetites           appatites
impedance           impedence
operations          operatins
operators           oprators
timing              timeing
conscientious       conscientous
matrix              matriiix
heyday              heydey
peninsula           peninsular
library             libray
such                shuch
grammar             grammer
career              carear
operators           operaters
taking              takin
address             adress
correspondence      correspondance
notwithstanding     nothwithstanding
consider            concider
equivalent          equivelant
excellence          excelence
therefore           therefor
repetitive          repetative
mercenary           mercanery
disaggregate        disaggreaget
receives            recives
weird               wierd
livelihood          livlihood
deuce               duece
necessary           necassary
exercises           excercises
fear                feare
figures             figuars
immediately         immediatley
dissipate           disippate
excellent           exerlant
grandeur            granduer
arrangements        araingements
tonnage             tonage
evident             evedent
stubbornness        stubborness
beginning           begining
simular             similar
knowledge           knowage
sign                eign
variant             vairiant
transferred         transfered
arrangeing          aranging
conveniently        conviently
absorption          absorbtion
development         developement
coherent            coherant
entirely            entierly
solemn              solomn
also                allso
confusing           confusin
publicly            publically
straining           strainin
description         desacription
really              realy
pamphlet            pamplet
nickel              nickle
currently           curruntly
odyssey             oddysey
radiator            radiater
scissors            scisors
transferred         transfred
totally             totaly
conspired           conpired
truly               truley
specimen            speciment
orientated          orentated
persuade            pursuade
eligible            eligble
strategy            stratagy
analysis            anaylsis
receive             recieve
level               leval
stomach             stomack
thorough            thourough
height              heighth
requested           rquested
preventive          preventative
stirrups            stirups
majority            majorty
mathematically      mathematicaly
consisting          consisiting
spirituous          spiritous
numbers             numbuers
pumpkin             pumkin
inquiries           equiries
reference           refereence
heartrending        heartrendering
leisure             liesure
qualities           quaties
sparsely            sparcely
pleasant            plesant
seminary            seminery
necessitates        nessisitates
whereas             wheras
and                 anf
occurrence          occurence
brown               broun
separate            seperate
dignitary           dignatary
temporary           tempory
plaque              placque
fundamental         fundemental
prominent           prominant
nationally          nationaly
diminish            diminsh
renown              renoun
recompense          recompence
diagrammatically    diagrammaticaally
their               ther
further             furhter
were                wer
female              femail
irrelevant          irrelavent
variety             variatry
difficult           dificult
literature          litriture
disappoint          dessapoint
busy                buisy
accustom            acustom
delving             delvin
appointment         appoitment
experiences         experances
loans               lones
consensus           concensus
mischievous         mischievious
unparalleled        unparalelled
maudlin             mauldin
initial             intital
kitchen             kitchin
imagination         imaganation
intelligence        inteligence
occur               occure
nowadays            nowdays
phase               faze
appendix            apendix
possession          possesion
register            rgister
accomplice          acomplice
decision            descisions
thoroughly          throughly
filthiness          filthness
shrubbery           shrubery
controlled          controled
enemy               emeny
equipped            equipt
reckon              recon
announcement        anouncement
cynical             synical
competent           competant
mattress            matress
brethren            bretheren
visible             visable
hierarchy           hierchy
duchess             dutchess
business            businesss
qualified           qualafied
challenges          chalenges
gardener            gardner
confirmation        confermation
aggravated          agravated
analyze             analize
commercial          comersial
subtract            subtrcat
surrounding         serounding
japanese            japaneze
recipient           resipient
chauffeur           chauffuer
pavilion            pavillion
phenomenal          phenominal
component           componant
adequately          adaquately
controversy         controversey
mammoth             mamoth
forecast            forcast
suburban            sububan
pursuit             persuit
approximately       aproximately
countryman          countriman
every               evrey
incorrigible        incorigible
whether             wether
kimono              kimona
secretaries         secutaries
omission            ommision
prophecy            prophesy
proviso             provisoe
essential           esential
discrete            discreet
choosing            chosing
infinite            infinate
accompanying        acompaning
romantic            romantick
variable            varible
agreeable           agreable
exactly             exsactly
examining           examinin
visitor             vistor
routine             rouint
handsome            hansome
decides             descides
leisure             leasure
anniversary         anniversery
knowledge           knowlege
throughout          throuout
employed            emploied
experiences         experances
proceeding          proceding
colossal            collosal
despair             dispair
television          televison
collate             colate
restaurateur        restauranteur
their               thier
conference          conferance
maneuver            manuveur
interesting         intresting
data                dsata
considerable        conciderable
combine             comibine
security            seurity
drastically         drasticly
meteorological      meterological
doubt               doupt
himself             himselfe
scissors            sissers
luckily             luckeley
voting              voteing
committee           comittee
now                 noe
sprinkle            sprinkel
access              acess
drastically         drasticaly
rhubarb             ruhbarb
sorority            sororiety
significant         significent
accept              acept
stretched           streched
lonely              lonley
vegetable           vegatable
receipts            receits
synonymous          synonomous
dining              dinning
beneficial          benficial
heinous             hienous
corduroy            corderoy
foreign             foriegn
nonsense            nonsence
darling             darlin
user                uers
magnificent         magnificant
supposedly          supposidly
feeling             fealing
guardian            guardien
dropped             droped
dreaming            dreamin
sought              saught
useful              usful
paraphernalia       parephernalia
genius              genious
session             sesion
incompatibility     incompatability
acquaintances       aquantences
successive          sucsesive
appropriate         appropiate
onerous             onirous
religious           religous
politics            polatics
relatively          relitivly
assessment          assesment
originally          orginally
students            studens
kaleidoscope        kaliedoscope
narrative           narative
stratagem           strategem
mortgaged           mortgauged
description         desription
hierarchal          hierachial
proffer             profer
mean                meen
demands             diemands
sophomore           sophmore
credit              creadit
embarrassment       embarassment
receiving           reciving
psychological       psycological
slimmest            slimest
caribbean           carribean
duly                duely
choose              chose
possibilities       posiblities
expense             expence
craftsman           craftman
grievous            grievious
ordinary            ordenary
largely             largly
night               nite
clerk               clerck
availability        avaiblity
families            familes
approximately       aproximatly
merchandise         merchandize
excessively         exessively
reference           referance
that                thatt
prior               piror
interference        intereference
waggish             wagish
octopus             octapus
souvenir            souviner
facilitate          facilatate
independence        independance
weapons             wepons
compared            comppared
conscience          concience
analysis            analiss
laboratory          labortory
insight             insite
pickerel            pickeral
restaurant          restuarant
comparison          comparrison
senior              sienior
promontory          promonotory
commit              comit
bargaining          baragining
rehabilitate        rehabilatate
profession          preffeson
yield               yeild
preferable          preferrable
sheep               sheepe
studying            studing
ecstasy             ecstacy
instantaneous       instantanous
bonus               bonas
immediate           imediate
hand                hande
coolly              cooly
rheumatism          rhuematism
paternity           paternaty
approximately       approximatly
centrally           centraly
personnel           personnell
unequivocally       unequivocaly
eliminated          elimiated
appeal              apeal
irrelevant          irrevelant
believe             beleive
thief               theaf
ascertain           assertain
metropolitan        metropolitian
progresses          progressess
accumulated         acumulated
separation          seperation
advice              advise
receive             receave
concede             consede
careers             carrers
advise              advice
category            catagorey
examine             examin
description         descvription
antarctic           antartic
organized           oranised
bingley             bingly
pursue              persue
pain                paine
hierarchy           heiarky
refrigerator        refrigerater
apologies           appologies
appearing           appearin
reclamation         reclaimation
eligible            elegable
seized              siezed
bicycle             bicycal
neither             niether
provisionally       provisionaly
optician            optitian
irresistible        irristible
locally             localy
fox                 foxx
alumnae             alumni
source              sourse
however             howeverr
coliseum            colosium
symmetry            symetry
unnecessary         unessessay
account             acount
discipline          discpline
usage               useage
rhododendron        rhododrendon
tyrannical          tyranical
cantaloupe          cantaloube
annual              anual
origin              origen
finally             finaly
bungalow            bungalo
allow               alow
therefore           therefor
business            busness
functionally        functionaly
fictitious          fictitous
opportunity         opperttunity
tobacco             tobbaco
leeway              leaway
acknowledgment      acknowledgement
knickknacks         knicknacks
approximate         aproximate
apparent            apparant
poetry              poetrie
abattoir            abbatoir
appropriation       apropriation
later               latter
accessing           accesing
clever              cleva
hindrance           hinderence
bushel              bushell
equalled            equaled
further             futher
asking              askin
vacancy             vacency
overall             overal
scarcity            scarsity
unfortunately       unfortunatly
regained            regined
naphtha             naptha
eliminate           illiminate
administration      adminstration
reciprocal          reciprocel
physician           phisician
ingratitude         ingratitoode
easier              easer
raise               raize
authoritative       authorative
suggested           sugested
necessity           nessesity
bankruptcy          bankrupcy
redundant           redundent
incense             insense
conceived           concieved
flammable           flamable
dispel              dispell
recommending        reccommending
moving              moveing
surveying           servaying
occasionally        occasionly
standardizing       stanerdizing
shepherd            sheperd
exquisite           exquiset
normally            normaly
table               tasble
perseverance        perseverence
suing               sueing
magnificent         magnificient
admissible          admissable
necessary           neccassary
vaccination         vacinnation
effecting           effectinge
composed            compossed
plagiarism          plaigarism
personalty          personality
brief               brieff
aggravating         agravating
beneficent          beneficient
reparation          repairation
strenuous           strenous
entertained         enterteyned
procedure           proceduer
earnest             ernest
calling             callin
apollo              appolo
when                whn
gauge               guage
dependence          dependance
proportions         proprtions
possess             posess
imagination         imagnation
input               inut
recommending        recomending
ascertain           acertain
paid                payed
successful          succesful
set                 et
parenthesis         parenthasis
repetition          repitition
social              socal
system              sysem
sincerity           sincerety
salaries            salarys
prisoner            prisner
meeting             meetin
accommodate         accomodate
referring           refering
connoisseurs        connoiseurs
correspondence      correspondance
relevant            relavent
sandwich            sanwich
penitentiary        penitentary
weighted            wagted
incidentally        incidently
drew                drewe
continuous          continious
whether             wheather
supplement          suplement
battalion           batallion
repel               repell
weed                weede
guaranteed          guarenteed
ponderous           pondorous
interrogating       interogationg
enormously          enomosly
according           acording
containing          containg
disappoint          dissapoint
prejudice           prejedice
philippines         phillipines
infallible          infalable
believe             belive
admitting           admiting
prepared            prepaired
vacancy             vancancy
apparent            aparent
examination         eximination
unavailable         unavailble
accede              acceed
auxiliary           auxillary
safeguard           safegaurd
edition             ediion
confectionery       confectionary
shortened           shortend
preceding           preceeding
pendulum            pendelum
clerk               cleark
occasionally        ocassionaly
naphtha             naphta
conversely          conversly
finally             finaly
representatives     represenatives
banana              bananna
semesters           semisters
pronunciation       pronounciation
received            recived
permissible         permissable
valuable            valuble
indispensable       indispensible
easily              easyly
immensely           immensly
delirious           dilirious
obbligato           obliggato
archaeological      archeological
wednesday           wensday
manufactories       manufacturies
professor           proffesor
assistance          assistence
vengeance           vengance
siege               seige
adaptability        adaptibility
analysing           aalysing
earliest            earlyest
judgment            judgement
satisfactory        satisfactary
usurious            usurous
negligible          negligable
efficiency          effeciency
continuous          continous
rhythm              rythm
separated           seperated
except              excxept
expensive           expencive
occasionally        occasionaly
encourage           encorage
answer              anwser
sagacious           sagatious
existence           existance
careers             currers
specimens           specimans
expansion           expanion
buoyant             bouyant
search              serch
experience          experance
ghastly             gastly
disappointing       dissapoiting
superintendent      supertendent
questionnaire       questionare
resulting           reulting
masterpiece         masterpice
desperately         despratly
econometric         economtric
extremely           extreamly
universally         universaly
sugar               suger
necessarily         necessarilly
sovereignty         sovreignty
fiery               firey
challenges          chalenges
collateral          calateral
appreciation        apreciation
anomalies           anomolies
guardian            gaurdian
university          universaty
approximate         approxomate
nature              natior
guidelines          guidlines
pivoting            pivting
reference           refference
analysis            analisis
associated          assosiated
virtually           vertually
customary           customery
success             sucess
descendant          descendent
quarter             quater
pervaded            prevaded
minutes             muinets
own                 owne
silhouette          silhuette
contained           contasined
tragedy             tradegy
asinine             assinine
